item,subgroup,domain,n_eff,truth_pct,est_mean,est_sd,width_mean,covered_run1,abs_err,extremity,log_n_eff
confinan,total,institutions,1067.0,17.13,27.0,0.0,8.666666666666666,False,9.870000000000001,32.870000000000005,6.9726062513017535
confinan,women,institutions,605.9,19.02,22.666666666666668,5.033222956847166,11.0,True,3.6466666666666683,30.98,6.406714955950943
conmedic,age18_34,institutions,241.0,28.7,38.0,0.0,12.0,False,9.3,21.3,5.484796933490655
conmedic,age55plus,institutions,473.8,26.54,42.0,0.0,10.666666666666666,False,15.46,23.46,6.160785291724685
conmedic,ba_plus,institutions,408.6,29.91,44.0,3.4641016151377544,10.666666666666666,False,14.09,20.09,6.0127366823835215
conmedic,men,institutions,497.7,28.09,38.0,0.0,10.0,False,9.91,21.91,6.209997485864508
conmedic,total,institutions,1066.2,26.4,39.333333333333336,2.3094010767585034,8.666666666666666,False,12.933333333333337,23.6,6.9718562043886605
conmedic,women,institutions,605.7,24.43,38.0,0.0,8.666666666666666,False,13.57,25.57,6.406384813986902
conpress,age18_34,institutions,244.4,7.21,10.666666666666666,2.3094010767585034,9.666666666666666,True,3.456666666666666,42.79,5.4988062272974405
conpress,age55plus,institutions,471.3,8.37,12.0,0.0,9.0,True,3.630000000000001,41.63,6.155494833929685
conpress,ba_plus,institutions,406.3,9.21,12.0,0.0,9.0,True,2.789999999999999,40.79,6.007091802993681
conpress,men,institutions,503.9,7.62,14.0,3.4641016151377544,9.666666666666666,False,6.38,42.38,6.222377835686553
conpress,total,institutions,1070.6,7.52,14.0,1.7320508075688772,6.666666666666667,False,6.48,42.480000000000004,6.975974517959281
conpress,women,institutions,599.2,7.44,12.0,0.0,8.333333333333334,False,4.56,42.56,6.3955954322030095
consci,age18_34,institutions,240.0,38.58,52.0,10.0,15.0,True,13.420000000000002,11.420000000000002,5.480638923341991
consci,age55plus,institutions,463.1,37.75,42.0,0.0,12.0,True,4.25,12.25,6.137943013486706
consci,ba_plus,institutions,406.0,46.13,66.0,3.4641016151377544,13.333333333333334,False,19.869999999999997,3.8699999999999974,6.0063531596017325
consci,men,institutions,494.3,39.77,38.0,0.0,12.0,True,1.7700000000000031,10.229999999999997,6.203142620312914
consci,total,institutions,1049.4,36.74,40.666666666666664,2.3094010767585034,8.666666666666666,True,3.9266666666666623,13.259999999999998,6.955973851252612
consci,women,institutions,589.6,32.7,49.333333333333336,2.309401076758502,12.0,False,16.633333333333333,17.299999999999997,6.379444340875127
contv,age18_34,institutions,241.9,13.4,8.0,0.0,9.333333333333334,False,5.4,36.6,5.488524417615982
contv,age55plus,institutions,471.4,7.0,8.0,0.0,7.0,True,1.0,43.0,6.155706990502031
contv,ba_plus,institutions,406.8,4.0,8.0,0.0,7.0,False,4.0,46.0,6.008321664174405
contv,men,institutions,497.0,7.47,11.0,1.7320508075688772,8.333333333333334,False,3.5300000000000002,42.53,6.208590026096629
contv,total,institutions,1064.2,8.26,16.0,0.0,10.333333333333334,False,7.74,41.74,6.969978622162269
contv,women,institutions,602.9,8.79,12.333333333333334,3.5118845842842465,9.666666666666666,True,3.543333333333335,41.21,6.401751345495359
fair,age18_34,social_trust,99.7,26.86,38.0,0.0,12.333333333333334,False,11.14,23.14,4.602165676967792
fair,age55plus,social_trust,228.2,53.49,42.666666666666664,5.033222956847167,10.666666666666666,False,10.823333333333338,3.490000000000002,5.430222437427975
fair,ba_plus,social_trust,145.4,54.94,52.666666666666664,5.033222956847165,10.666666666666666,True,2.2733333333333334,4.939999999999998,4.979488565099419
fair,men,social_trust,233.8,48.71,44.0,3.4641016151377544,10.0,False,4.710000000000001,1.2899999999999991,5.454466049037968
fair,total,social_trust,467.1,41.75,48.0,0.0,10.666666666666666,False,6.25,8.25,6.1465433675080625
fair,women,social_trust,245.0,34.91,47.333333333333336,5.033222956847165,9.333333333333334,False,12.42333333333334,15.090000000000003,5.501258210544727
fear,age18_34,wellbeing,272.1,38.56,39.333333333333336,2.3094010767585034,12.666666666666666,True,0.7733333333333334,11.439999999999998,5.6061696457892
fear,age55plus,wellbeing,482.7,30.18,42.0,0.0,14.0,False,11.82,19.82,6.179395342666448
fear,ba_plus,wellbeing,399.9,29.32,36.0,3.4641016151377544,11.333333333333334,True,6.68,20.68,5.991214515852772
fear,men,wellbeing,507.4,23.26,32.0,0.0,13.333333333333334,False,8.739999999999998,26.74,6.229299647165181
fear,total,wellbeing,1075.8,32.91,48.0,0.0,10.666666666666666,False,15.090000000000003,17.090000000000003,6.9808198498391425
fear,women,wellbeing,600.7,41.88,48.0,0.0,11.333333333333334,False,6.119999999999997,8.119999999999997,6.3980956418561155
getahead,age18_34,social_trust,112.5,60.61,50.666666666666664,2.3094010767585034,12.0,False,9.943333333333335,10.61,4.722953221644475
getahead,age55plus,social_trust,234.7,66.61,59.333333333333336,2.3094010767585034,12.0,True,7.276666666666664,16.61,5.458308102856978
getahead,ba_plus,social_trust,147.7,50.78,60.666666666666664,2.3094010767585034,12.666666666666666,False,9.886666666666663,0.7800000000000011,4.995183189537334
getahead,men,social_trust,237.3,61.01,60.666666666666664,2.309401076758502,11.333333333333334,True,0.3433333333333337,11.009999999999998,5.4693251634417175
getahead,total,social_trust,474.6,65.4,54.0,3.4641016151377544,9.333333333333334,False,11.400000000000006,15.400000000000006,6.162472344001663
getahead,women,social_trust,252.9,69.03,45.333333333333336,5.773502691896256,9.333333333333334,False,23.696666666666665,19.03,5.5329941536759195
happy,age18_34,wellbeing,379.8,20.59,23.0,0.0,8.333333333333334,True,2.41,29.41,5.939644798378185
happy,age55plus,wellbeing,723.9,24.92,33.0,0.0,8.0,False,8.079999999999998,25.08,6.584653261299096
happy,ba_plus,wellbeing,610.7,26.17,36.0,1.7320508075688772,8.0,False,9.829999999999998,23.83,6.414605840229089
happy,men,wellbeing,757.9,23.28,32.666666666666664,0.5773502691896263,6.666666666666667,False,9.386666666666663,26.72,6.6305514508179835
happy,total,wellbeing,1618.9,23.45,33.0,0.0,6.0,False,9.55,26.55,7.38950218524746
happy,women,wellbeing,914.8,23.38,32.666666666666664,0.5773502691896263,6.666666666666667,False,9.286666666666665,26.62,6.818705462148626
health,age18_34,wellbeing,380.6,75.43,72.0,0.0,8.0,True,3.430000000000007,25.430000000000007,5.9417489548620495
health,age55plus,wellbeing,726.1,70.43,70.66666666666667,2.309401076758502,8.0,True,0.23666666666666458,20.430000000000007,6.587687746386201
health,ba_plus,wellbeing,615.2,82.46,77.0,1.7320508075688772,8.0,False,5.459999999999994,32.459999999999994,6.421947418191435
health,men,wellbeing,765.0,71.92,72.0,0.0,8.0,True,0.0799999999999983,21.92,6.639875833826536
health,total,wellbeing,1627.2,72.18,67.66666666666667,0.5773502691896278,8.0,False,4.513333333333335,22.180000000000007,7.394616025294296
health,women,wellbeing,917.5,72.31,72.0,0.0,8.0,True,0.3100000000000023,22.310000000000002,6.821652579928726
helpful,age18_34,social_trust,100.8,26.97,38.0,0.0,10.666666666666666,False,11.030000000000001,23.03,4.613138355637268
helpful,age55plus,social_trust,226.8,46.89,38.0,0.0,10.0,False,8.89,3.1099999999999994,5.4240685718535975
helpful,ba_plus,social_trust,143.4,43.73,48.0,0.0,10.0,True,4.270000000000003,6.270000000000003,4.96563792816552
helpful,men,social_trust,234.7,38.19,39.333333333333336,2.3094010767585034,9.333333333333334,True,1.143333333333338,11.810000000000002,5.458308102856978
helpful,total,social_trust,470.2,38.03,38.0,0.0,8.666666666666666,True,0.030000000000001137,11.969999999999999,6.1531581361059695
helpful,women,social_trust,247.4,37.62,40.666666666666664,2.309401076758502,8.666666666666666,False,3.046666666666667,12.380000000000003,5.511006459958388
natenvir,age18_34,spending,199.6,78.12,62.0,0.0,13.333333333333334,False,16.120000000000005,28.120000000000005,5.296315363877364
natenvir,age55plus,spending,360.5,59.34,46.0,3.4641016151377544,12.666666666666666,False,13.340000000000003,9.340000000000003,5.887491956725004
natenvir,ba_plus,spending,300.4,66.9,68.66666666666667,5.773502691896256,13.0,True,1.7666666666666657,16.900000000000006,5.705114919889979
natenvir,men,spending,376.5,63.32,40.666666666666664,2.3094010767585034,12.666666666666666,False,22.653333333333336,13.32,5.930918047239948
natenvir,total,spending,821.3,66.35,49.333333333333336,2.3094010767585034,11.333333333333334,False,17.01666666666666,16.349999999999994,6.710888450746147
natenvir,women,spending,476.7,68.09,60.0,2.0,14.0,False,8.090000000000003,18.090000000000003,6.16688736221078
natroad,age18_34,spending,376.1,37.82,62.0,0.0,14.0,False,24.18,12.18,5.929855065476291
natroad,age55plus,spending,713.3,62.49,54.0,3.4641016151377544,14.0,False,8.490000000000002,12.490000000000002,6.5699020892839926
natroad,ba_plus,spending,604.6,55.25,59.333333333333336,2.3094010767585034,13.333333333333334,True,4.083333333333336,5.25,6.404567082345357
natroad,men,spending,755.1,56.79,52.0,0.0,14.666666666666666,True,4.789999999999999,6.789999999999999,6.62685019080938
natroad,total,spending,1597.7,52.25,58.0,0.0,12.0,True,5.75,2.25,7.376320374033526
natroad,women,spending,895.1,46.67,52.0,0.0,12.0,True,5.329999999999998,3.3299999999999983,6.796935443876893
natsci,age18_34,spending,368.8,37.81,62.0,0.0,14.666666666666666,False,24.189999999999998,12.189999999999998,5.910254491682439
natsci,age55plus,spending,698.7,41.46,52.0,0.0,16.666666666666668,False,10.54,8.54,6.549221465558405
natsci,ba_plus,spending,595.3,45.66,72.0,0.0,13.0,False,26.340000000000003,4.340000000000003,6.389065480159345
natsci,men,spending,746.2,42.73,54.0,3.4641016151377544,12.0,False,11.270000000000003,7.270000000000003,6.614993660787057
natsci,total,spending,1560.5,40.2,58.333333333333336,5.507570547286101,14.666666666666666,False,18.133333333333333,9.799999999999997,7.352761561710834
natsci,women,spending,865.0,37.13,62.0,0.0,14.0,False,24.869999999999997,12.869999999999997,6.762729506931879
satfin,age18_34,wellbeing,381.8,16.01,29.333333333333332,2.3094010767585034,11.0,False,13.32333333333333,33.989999999999995,5.944896911291647
satfin,age55plus,wellbeing,728.4,31.11,35.0,3.0,8.666666666666666,True,3.8900000000000006,18.89,6.590850347853453
satfin,ba_plus,wellbeing,611.9,34.2,47.333333333333336,5.033222956847165,8.666666666666666,False,13.133333333333333,15.799999999999997,6.4165688704684944
satfin,men,wellbeing,765.9,23.53,34.333333333333336,0.5773502691896263,8.0,False,10.803333333333335,26.47,6.641051612915548
satfin,total,wellbeing,1630.0,22.93,32.0,0.0,8.333333333333334,False,9.07,27.07,7.396335293800808
satfin,women,wellbeing,916.9,21.9,32.0,0.0,8.0,False,10.100000000000001,28.1,6.820998415055855
satjob,age18_34,wellbeing,329.5,34.84,37.0,1.7320508075688772,12.333333333333334,True,2.1599999999999966,15.159999999999997,5.797576353942562
satjob,age55plus,wellbeing,299.3,55.58,52.666666666666664,5.033222956847166,10.0,False,2.913333333333334,5.579999999999998,5.701446414858653
satjob,ba_plus,wellbeing,439.2,48.7,51.333333333333336,3.055050463303893,8.666666666666666,False,2.633333333333333,1.2999999999999972,6.084954890195321
satjob,men,wellbeing,522.5,44.21,48.666666666666664,1.154700538379251,11.333333333333334,True,4.4566666666666634,5.789999999999999,6.258624983838966
satjob,total,wellbeing,1125.7,45.34,36.666666666666664,1.154700538379251,8.0,False,8.67333333333334,4.659999999999997,7.0261603433607585
satjob,women,wellbeing,643.1,45.51,39.333333333333336,2.3094010767585034,8.0,False,6.176666666666662,4.490000000000002,6.466300233140817
trust,age18_34,social_trust,99.9,7.54,28.0,0.0,13.0,False,20.46,42.46,4.604169685654508
trust,age55plus,social_trust,228.8,33.16,38.0,0.0,10.0,True,4.840000000000003,16.840000000000003,5.432848259505643
trust,ba_plus,social_trust,145.3,39.81,48.0,0.0,10.666666666666666,False,8.189999999999998,10.189999999999998,4.9788005705762375
trust,men,social_trust,234.8,32.39,34.0,1.0,9.333333333333334,True,1.6099999999999994,17.61,5.458734087953942
trust,total,social_trust,472.0,24.95,34.0,1.7320508075688772,8.666666666666666,False,9.05,25.05,6.156978985585555
trust,women,social_trust,249.0,17.74,34.0,1.0,10.333333333333334,False,16.26,32.260000000000005,5.517452896464707
